# THALASSA - GRAVITY FIELD FILE
# Contains normalized spherical harmonics coefficients and physical constants.
# Body:                              Earth
# Model:                             GRIM5-S1 (static)
# Max degree:                        99
# Max order:                         95
# GM [km^3/s^2]:                     3.986004414498200E+05
# Ellipsoid semi-major axis [km]:    6.378136460000000E+03
# 1/flattening:                      2.982576500000000E+02
# Angular velocity [rad/s]:          0.729211585530660E-04
# Normalized spherical harmonics coefficients:
#l  m                      Cbar                     Sbar
26 20   6.18992304468799976E-09 -1.09612163806080004E-08 
26 21  -8.69744215290140007E-09  3.33242093050099989E-09 
26 22   1.09900657478040007E-08  7.36653146299459987E-09 
26 23   6.66835322674169953E-10  1.02050852817740001E-08 
26 24   8.27864394597429961E-09  1.39699390171149996E-08 
26 25   3.57145098497470011E-09 -3.74004367053329984E-10 
26 26   7.50968740518730044E-10  1.97358357136790000E-09 
27  0   3.98244199610050016E-09  0.00000000000000000E+00 
27  1  -9.16808259902830064E-09  2.23880875329669986E-09 
27  2   5.02578367606430013E-09 -1.27792452273040010E-09 
27  3   7.13387412159399984E-09  4.19506271818419991E-09 
27  4  -5.34646725690309973E-09  1.29017067098899992E-08 
27  5   1.17660211993120002E-08  8.36357407662509966E-09 
27  6   1.33874592949660007E-08  5.93661137078070003E-09 
27  7  -8.92431394576680001E-09 -5.76938072685009988E-09 
27  8  -1.48731216314439997E-08 -5.42535761531309964E-09 
27  9  -4.15895058472179974E-09  1.46807273157560006E-08 
27 10  -6.61262015219070008E-09 -4.24069110940780017E-12 
27 11  -1.96901501898409982E-09 -1.63962641923989992E-08 
27 12  -1.05852294482490006E-08  4.01189592937219973E-09 
27 13  -5.14790549495729985E-09 -6.22089552178650022E-09 
27 14   1.48671723729119993E-08  1.31735523484260008E-08 
27 15  -7.33259323007089985E-10  5.08119093223900019E-10 
27 16   2.77834384449369992E-09  4.09191469514840004E-09 
27 17   4.88853559423310025E-09  7.11703487869120051E-10 
27 18  -2.88782915820149999E-09  7.53865624493709976E-09 
27 19  -6.17707570717640042E-10 -1.88943472694169980E-09 
27 20  -8.81779307689710043E-10  3.18672485019939998E-09 
27 21   5.05379705167580004E-09 -7.09235779633029988E-09 
27 22  -6.59334053337679981E-09  2.56876212979160002E-09 
27 23  -5.84385913794439995E-09 -1.15441268803329998E-08 
27 24   4.31338213425479996E-10 -2.08225163423550010E-09 
27 25   1.19831625639729998E-08  6.03505986700650004E-09 
27 26  -6.73911541165549965E-09 -2.34026827424579997E-09 
27 27   8.44895490071860052E-09  9.46885984235009956E-10 
28  0  -3.50929375212489996E-09  0.00000000000000000E+00 
28  1  -4.73194235490230040E-09  5.81257592593919963E-09 
28  2  -2.01361817424099991E-08 -8.73206815785699929E-09 
28  3   5.88195549161189976E-09  2.94844687678570006E-09 
28  4   3.54966894679469982E-09  8.79625230103150002E-09 
28  5   7.76937427453839986E-09 -6.24786293491320013E-09 
